domain,level,est,ci_lb,ci_ub,n,single
B1,Weak,2.0779759415641497,1.5714717799140678,2.7477324562300014,7,FALSE
B1,Moderate,1.149392907346843,1.089687098688371,1.2123700987645059,19,FALSE
B1,Strong,0.9831841138917607,0.9690890552399642,0.997484180202372,7,FALSE
B2,Weak,NA,NA,NA,0,FALSE
B2,Moderate,1.4237190953302779,1.1398477086565448,1.7782867369160333,15,FALSE
B2,Strong,1.1266230038561815,1.0445478001491872,1.2151472557183511,18,FALSE
B3,Weak,NA,NA,NA,0,FALSE
B3,Moderate,1.1579147530550404,0.9755384975496059,1.3743861249046585,8,FALSE
B3,Strong,1.2166563613910417,1.0882161598055466,1.3602561296073707,25,FALSE
